# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	82043
#@/user_id	Window-Corp
a 	啊	c=355 d=2.17411 t=82043
hen bu rong yi 	很不容易	c=1 d=6.58033e-48 t=82043
hen da 	很大	c=4 d=7.85131e-08 t=82043
hen duo 	很多	c=13 d=0.000115643 t=82043
hen duo ren 	很多人	c=2 d=6.09778e-05 t=82043
hen gao 	很高	c=0 d=3.03116e-18 t=82043
hen hao 	很好	c=3 d=3.86071e-10 t=82043
hen ji 	痕迹	c=1 d=1.71269e-36 t=82043
hen jiu 	很久	c=2 d=2.38196e-05 t=82043
hen ka 	很卡	c=1 d=1.6306e-17 t=82043
hen kuai 	很快	c=4 d=4.29923e-11 t=82043
hen qiang 	很强	c=2 d=1.8825 t=60212
hen rong yi 	很容易	c=2 d=7.54346e-08 t=82043
hen shao 	很少	c=2 d=0.831104 t=82043
hen xi 	很细	c=1 d=5.66874e-29 t=82043
hen xiang 	很想	c=1 d=1 t=76667
hen xiang xi 	很详细	c=1 d=3.20146e-13 t=82043
hen you 	很有	c=2 d=3.74597e-08 t=82043
hen zao 	很早	c=1 d=5.10425e-89 t=82043
hen zhun 	很准	c=1 d=1.10412e-77 t=82043
heng 	哼	c=0 d=5.53537e-44 t=82043
heng 	恒	c=10 d=3.92786e-07 t=82043
heng 	横	c=48 d=0.15152 t=82043
heng 	衡	c=1 d=1 t=49622
heng chuan 	横穿	c=8 d=3.38415e-89 t=82043
heng duan 	横断	c=1 d=2.32632e-21 t=82043
heng duan mian 	横断面	c=17 d=0.321422 t=82043
heng duo 	横多	c=1 d=2.55017e-43 t=82043
heng ge 	哼歌	c=1 d=2.2853e-47 t=82043
heng ge ban 	横隔板	c=2 d=2.51921e-17 t=82043
heng jian dan 	哼简单	c=1 d=5.56312e-43 t=82043
heng le 	横肋	c=1 d=1.53721e-29 t=82043
heng liang 	横梁	c=1 d=1 t=73727
heng liang 	衡量	c=2 d=6.67272e-28 t=82043
heng pi 	横批	c=1 d=0.000129737 t=82043
heng po 	横坡	c=4 d=0.0616156 t=82043
heng qiao 	横桥	c=2 d=0.109154 t=82043
heng qiao xiang 	横桥乡	c=1 d=5.63663e-21 t=82043
heng xi 	横溪	c=0 d=0.1 t=53781
heng xi na ge 	横溪那个	c=1 d=1 t=53782
heng xian 	横线	c=1 d=7.13324e-56 t=82043
heng xiang 	横向	c=57 d=0.129167 t=82043
heng xiang dao lu 	横向道路	c=1 d=5.12564e-50 t=82043
heng xiang kuan 	横向宽	c=1 d=2.83491e-53 t=82043
heng zai 	恒载	c=30 d=0.140961 t=82043
heng zi 	横恣	c=0 d=0.1 t=45711
heng zi a 	横恣啊	c=1 d=1 t=45712
heng zuo biao 	横座标	c=1 d=1 t=66835
hng 	哼	c=0 d=2.0033e-28 t=82043
hong 	洪	c=11 d=5.46611e-09 t=82043
hong 	红	c=5 d=7.06873e-08 t=82043
hong cha 	红茶	c=1 d=1.91242e-69 t=82043
hong hong 	哄哄	c=1 d=4.15631e-25 t=82043
hong hong 	红红	c=1 d=2.1345e-38 t=82043
hong hua 	红花	c=0 d=0.1 t=68077
hong hua hui 	红花会	c=1 d=1 t=68078
hong qiao 	虹桥	c=7 d=3.14458e-08 t=82043
hong se 	红色	c=2 d=6.20969e-33 t=82043
hong se ji 	红色基	c=1 d=4.82237e-09 t=82043
hong se tu 	红色土	c=1 d=1 t=61138
hong shao 	红烧	c=4 d=0.00467746 t=82043
hong shui 	洪水	c=4 d=6.49714e-16 t=82043
hong tou 	红透	c=1 d=1.49798e-19 t=82043
hong xi na 	红吸纳	c=2 d=5.0748e-91 t=82043
hong xian 	红线	c=10 d=7.92895e-06 t=82043
hong xin 	红心	c=1 d=3.01236e-33 t=82043
hong xin a 	红心啊	c=2 d=2.01547e-10 t=82043
hou 	侯	c=7 d=9.20077e-21 t=82043
hou 	厚	c=7 d=7.01412e-05 t=82043
hou 	后	c=64 d=1.62932 t=82043
hou ban duan 	后半段	c=1 d=2.29466e-95 t=82043
hou che 	候车	c=1 d=1.41002e-13 t=82043
hou de 	后的	c=0 d=0.1 t=62284
hou du 	厚度	c=47 d=0.0960126 t=82043
hou fa 	后发	c=1 d=1 t=67764
hou guo 	后果	c=1 d=1 t=71096
hou ji bo fa 	厚积薄发	c=1 d=1 t=54587
hou jiao 	后浇	c=6 d=4.93252e-10 t=82043
hou jiao dai 	后浇带	c=3 d=1.61043e-47 t=82043
hou lai 	后来	c=2 d=9.12629e-43 t=82043
hou men 	后门	c=1 d=4.65081e-24 t=82043
hou mi na 	后米娜	c=3 d=1.5245e-49 t=82043
hou mian 	后面	c=52 d=0.980336 t=82043
hou mian jiu 	后面就	c=1 d=1.59771e-42 t=82043
hou mian jiu shi 	后面就是	c=1 d=2.58783e-39 t=82043
hou min 	侯敏	c=0 d=2.32308e-35 t=82043
hou min a 	侯敏啊	c=1 d=2.33472e-34 t=82043
hou qi 	后期	c=6 d=0.348192 t=82043
hou sai yin 	侯赛因	c=1 d=3.78555e-14 t=82043
hou tai 	后台	c=2 d=0.0026189 t=82043
hou xu 	后续	c=11 d=0.0863971 t=82043
hou yi zheng 	后遗症	c=1 d=6.00802e-07 t=82043
hou zhui 	后缀	c=4 d=6.3653e-30 t=82043
hou zhui ming 	后缀名	c=2 d=2.18214e-33 t=82043
hou zong ge 	后纵隔	c=1 d=1 t=65557
hou zou 	后走	c=0 d=8.95653e-29 t=82043
hu 	弧	c=2 d=0.23457 t=82043
hu 	户	c=1 d=3.41763e-17 t=82043
hu 	护	c=1 d=5.75717e-64 t=82043
hu 	沪	c=14 d=1.46314e-09 t=82043
hu 	湖	c=13 d=8.92884e-21 t=82043
hu bi 	护壁	c=4 d=4.38027e-69 t=82043
hu chang 	护厂	c=1 d=6.15114e-78 t=82043
hu chuan 	互传	c=1 d=1.63649e-30 t=82043
hu die 	蝴蝶	c=1 d=1.80443e-91 t=82043
hu dong 	互动	c=2 d=8.47807e-28 t=82043
hu dong e 	互动额	c=2 d=5.48543e-31 t=82043
hu du 	弧度	c=3 d=1.41757e-17 t=82043
hu hang 	沪杭	c=1 d=3.45491e-27 t=82043
hu ji 	户籍	c=1 d=1.19307e-18 t=82043
hu jiao 	呼叫	c=2 d=3.89501e-47 t=82043
hu kou 	户口	c=1 d=1.2111e-18 t=82043
hu lan 	护栏	c=41 d=0.551563 t=82043
hu lan de 	护栏的	c=3 d=1.23813e-13 t=82043
hu lian 	互联	c=6 d=2.64743e-07 t=82043
hu lian wang 	互联网	c=2 d=2.93589e-11 t=82043
hu lu e 	沪卤鹅	c=1 d=5.66259e-75 t=82043
hu lve 	忽略	c=1 d=5.69098e-75 t=82043
hu mian 	湖面	c=1 d=5.14574e-96 t=82043
hu ning 	沪宁	c=0 d=5.86548e-49 t=82043
hu ning tu 	沪宁图	c=1 d=5.89488e-48 t=82043
hu nong 	糊弄	c=1 d=1 t=54401
hu po 	护坡	c=3 d=9.62917e-27 t=82043
hu shou 	护手	c=1 d=1.32471e-14 t=82043
hu song 	沪松	c=68 d=0.365038 t=82043
hu ting 	沪亭	c=3 d=5.91234e-24 t=82043
hu tong 	互通	c=3 d=6.88342e-19 t=82043
hu xiang 	互相	c=1 d=9.24059e-13 t=82043
hu yao bang 	胡耀邦	c=1 d=7.41575e-13 t=82043
hu zhao 	护照	c=1 d=1.73946e-42 t=82043
hu zi 	胡子	c=1 d=7.84171e-23 t=82043
hu zong nan 	胡宗南	c=0 d=4.11565e-28 t=82043
hua 	划	c=2 d=4.90272e-22 t=82043
hua 	化	c=35 d=0.50409 t=82043
hua 	华	c=11 d=1.2035e-05 t=82043
hua 	滑	c=1 d=2.74224e-15 t=82043
hua 	画	c=32 d=0.831753 t=82043
hua 	花	c=12 d=1.29134e-08 t=82043
hua 	话	c=58 d=0.83527 t=82043
hua ban 	滑板	c=2 d=1.0868e-38 t=82043
hua bei 	华北	c=1 d=1.0158e-08 t=82043
hua chu 	划出	c=1 d=1 t=80740
hua ding 	划定	c=2 d=1.96561 t=72820
hua dong 	滑动	c=1 d=2.14819e-25 t=82043
hua fen 	划分	c=5 d=2.77697e-16 t=82043
hua gang yan 	花岗岩	c=1 d=1 t=71522
hua ge 	花个	c=1 d=1 t=61235
hua gong 	化工	c=1 d=3.34006e-41 t=82043
hua lan 	花篮	c=5 d=0.048347 t=82043
hua le 	花了	c=1 d=1.28442e-33 t=82043
hua lun 	滑轮	c=2 d=1 t=64869
hua ping 	花瓶	c=2 d=8.66823e-76 t=82043
hua ping dun 	花瓶墩	c=2 d=5.7081e-88 t=82043
hua qian 	花钱	c=1 d=1.25899e-33 t=82043
hua shui 	划水	c=1 d=1 t=52007
hua ti 	话题	c=1 d=1.01615e-12 t=82043
hua tu 	画图	c=2 d=8.00992e-08 t=82043
hua wan 	花完	c=1 d=6.17586e-37 t=82043
hua xiang 	花箱	c=22 d=0.0234005 t=82043
hua xiang 	花香	c=1 d=8.55513e-18 t=82043
hua xue 	化学	c=3 d=1 t=72255
hua yuan 	花园	c=1 d=9.30115e-31 t=82043
hua zhi 	画质	c=1 d=1 t=75315
huai 	坏	c=5 d=1 t=81015
huai 	淮	c=1 d=0.000285862 t=82043
huai an 	淮安	c=1 d=9.52819e-50 t=82043
huai le 	坏了	c=1 d=9.66232e-38 t=82043
huai nan 	淮南	c=4 d=4.71709e-14 t=82043
huai nian 	怀念	c=1 d=4.26443e-33 t=82043
huai yi 	怀疑	c=1 d=5.97341e-86 t=82043
huan 	换	c=24 d=0.0120201 t=82043
huan 	环	c=6 d=1.59568 t=82043
huan 	缓	c=2 d=2.5253e-16 t=82043
huan 	还	c=1 d=4.71422e-95 t=82043
huan bao 	环保	c=3 d=1.52824e-19 t=82043
huan che 	换车	c=1 d=8.38716e-20 t=82043
huan cheng 	换成	c=2 d=2.50793e-23 t=82043
huan di 	环堤	c=9 d=1.56835e-39 t=82043
huan di he 	环堤河	c=4 d=4.66841e-39 t=82043
huan dian 	换电	c=0 d=0.1 t=45017
huan dian nao 	换电闹	c=1 d=1 t=45018
huan hang 	换行	c=2 d=8.29805e-12 t=82043
huan he 	缓和	c=1 d=1.62158e-40 t=82043
huan jing 	环境	c=60 d=1.11661 t=82043
huan le 	欢乐	c=1 d=1 t=49087
huan qie 	环切	c=1 d=1 t=80879
huan qiu 	环球	c=1 d=1 t=56406
huan shu 	幻术	c=1 d=1 t=68710
huan suan 	换算	c=3 d=1 t=66966
huan tian 	换填	c=4 d=1.60762e-21 t=82043
huan xia lai 	换下来	c=1 d=1 t=56257
huan xin 	换新	c=1 d=1 t=65812
huan xing 	唤醒	c=1 d=5.89689e-52 t=82043
huan xing 	环形	c=1 d=2.93998e-40 t=82043
huan yi ge 	换一个	c=1 d=3.64715e-17 t=82043
huan ying 	欢迎	c=1 d=2.51399e-22 t=82043
huang 	慌	c=2 d=3.9272e-05 t=82043
huang 	黄	c=5 d=3.82379e-12 t=82043
huang biao 	黄标	c=2 d=1.82696 t=66777
huang di 	荒地	c=1 d=3.58018e-93 t=82043
huang feng 	黄蜂	c=1 d=4.07262e-21 t=82043
huang hou 	皇后	c=1 d=3.71059e-14 t=82043
huang jiao 	荒郊	c=1 d=1 t=80268
huang se 	黄色	c=1 d=7.85666e-16 t=82043
hui 	会	c=60 d=0.357007 t=82043
hui 	回	c=14 d=2.30329e-08 t=82043
hui 	惠	c=1 d=1.79897e-26 t=82043
hui 	慧	c=4 d=1.55414e-37 t=82043
hui 	晖	c=1 d=1 t=44730
hui 	毁	c=1 d=4.33418e-18 t=82043
hui 	汇	c=6 d=1 t=69578
hui 	灰	c=2 d=0.00199922 t=82043
hui 	辉	c=1 d=5.74151e-32 t=82043
hui bao 	回报	c=1 d=1.11203e-15 t=82043
hui bao 	汇报	c=9 d=0.0724218 t=82043
hui bao ren 	回报人	c=1 d=1.11761e-14 t=82043
hui bei 	会被	c=1 d=7.21275e-10 t=82043
hui ben 	回本	c=0 d=1.8189e-39 t=82043
hui bian 	汇编	c=3 d=2.28042 t=52904
hui bu hui 	会不会	c=3 d=2.93858e-05 t=82043
hui che jian 	回车键	c=1 d=1 t=55553
hui da 	回答	c=4 d=1.05522e-07 t=82043
hui dao 	回到	c=2 d=3.89739e-33 t=82043
hui fa 	挥发	c=1 d=1.38493e-37 t=82043
hui fu 	回复	c=60 d=0.515374 t=82043
hui fu 	恢复	c=8 d=0.0220386 t=82043
hui fu qi 	恢复期	c=1 d=1 t=67205
hui gu niang 	灰姑娘	c=0 d=6.66026e-44 t=82043
hui gun 	回滚	c=5 d=3.28362e-17 t=82043
hui hou 	会后	c=2 d=1 t=75965
hui jia 	回家	c=7 d=6.94433e-05 t=82043
hui kuan 	汇款	c=1 d=1 t=75595
hui lai 	回来	c=13 d=0.588611 t=82043
hui lao jia 	回老家	c=1 d=1 t=79570
hui long 	回龙	c=3 d=2.28392 t=75258
hui long 	汇龙	c=3 d=3.55468e-09 t=82043
hui lu 	贿赂	c=1 d=1.1257e-40 t=82043
hui lv 	汇率	c=1 d=8.60241e-24 t=82043
hui ma 	回马	c=0 d=5.80138e-08 t=82043
hui mie 	毁灭	c=1 d=1 t=60790
hui qu 	回去	c=31 d=0.0388772 t=82043
hui se 	灰色	c=1 d=0.0642483 t=82043
hui shang 	会上	c=1 d=3.1186e-28 t=82043
hui shen 	会审	c=1 d=5.05997e-16 t=82043
hui shou 	回收	c=3 d=2.54548e-14 t=82043
hui suo 	会所	c=1 d=4.30362e-23 t=82043
hui tian 	回填	c=3 d=7.61903e-37 t=82043
hui tong 	汇通	c=4 d=1 t=69567
hui tu 	绘图	c=27 d=1.62049e-13 t=82043
hui tuan 	回团	c=1 d=1.80332e-25 t=82043
hui tui 	回退	c=2 d=6.49493e-12 t=82043
hui xiang 	回想	c=1 d=6.41458e-42 t=82043
hui xu 	会须	c=1 d=1.15443e-13 t=82043
hui xuan 	回旋	c=1 d=1 t=52474
hui yi 	会议	c=19 d=0.550391 t=82043
hui you 	会有	c=3 d=0.000761668 t=82043
hui yuan 	会员	c=4 d=1.88453e-11 t=82043
hui zeng jia 	会增加	c=1 d=1.14867e-13 t=82043
hui zhi 	绘制	c=39 d=0.0612407 t=82043
hui zhuan 	回转	c=1 d=1 t=52488
hui zong 	汇总	c=36 d=0.895834 t=82043
hun 	混	c=6 d=0.00628242 t=82043
hun 	荤	c=1 d=1.64497e-32 t=82043
hun 	魂	c=1 d=1 t=68948
hun gei nin tu 	混给您图	c=1 d=6.35312e-17 t=82043
hun he 	混合	c=2 d=4.16211e-12 t=82043
hun luan 	混乱	c=1 d=2.03802e-82 t=82043
hun nin gu 	混您顾	c=3 d=1.27397e-20 t=82043
hun ning 	混凝	c=0 d=0.1 t=72836
hun ning tu 	混凝土	c=152 d=0.625002 t=82043
hun ning tui 	混凝退	c=1 d=1 t=72837
huo 	或	c=53 d=1.21426e-09 t=82043
huo 	活	c=2 d=8.02944e-16 t=82043
huo 	火	c=2 d=4.97431e-21 t=82043
huo 	货	c=3 d=3.65597e-16 t=82043
huo che 	火车	c=4 d=1.20548e-05 t=82043
huo chong er 	火虫儿	c=0 d=2.42703e-50 t=82043
huo chong er hao 	火虫儿号	c=1 d=2.4392e-49 t=82043
huo dang 	豁荡	c=1 d=1.04959e-40 t=82043
huo de 	活得	c=1 d=1 t=66695
huo de 	获得	c=59 d=1.15679 t=82043
huo dong 	活动	c=14 d=7.04928e-05 t=82043
huo he zai 	活荷载	c=1 d=1 t=52826
huo huo 	活活	c=1 d=5.71191e-30 t=82043
huo huo 	火火	c=1 d=5.74054e-30 t=82043
huo jiang 	获奖	c=1 d=1 t=78445
huo la la 	火辣辣	c=1 d=1.44641e-48 t=82043
huo mao 	火猫	c=1 d=1.46498e-51 t=82043
huo qu 	获取	c=64 d=0.279221 t=82043
huo rong 	火绒	c=1 d=3.61025e-15 t=82043
huo shi 	伙食	c=6 d=0.000291637 t=82043
huo su 	火速	c=0 d=2.86398e-27 t=82043
huo xu 	或许	c=1 d=8.30371e-20 t=82043
huo yan 	火焰	c=2 d=5.76342e-18 t=82043
huo yun 	货运	c=1 d=1 t=80321
huo zai 	活载	c=5 d=1.11265e-12 t=82043
huo zai 	火灾	c=1 d=5.46632e-13 t=82043
huo zhe 	或者	c=26 d=0.061237 t=82043
huo zong 	或纵	c=1 d=2.32308e-34 t=82043
ji 	几	c=3 d=5.71993e-17 t=82043
ji 	击	c=3 d=5.40042e-73 t=82043
ji 	剂	c=1 d=2.55068e-16 t=82043
ji 	即	c=4 d=2.46212e-12 t=82043
ji 	及	c=211 d=2.21395 t=82043
ji 	姬	c=1 d=4.64765e-16 t=82043
ji 	寄	c=1 d=1 t=77296
ji 	急	c=6 d=0.518339 t=82043
ji 	极	c=5 d=6.06614e-32 t=82043
ji 	积	c=1 d=2.86301e-22 t=82043
ji 	级	c=1 d=1.49386e-16 t=82043
ji 	迹	c=1 d=6.57718e-13 t=82043
ji 	集	c=9 d=0.0198411 t=82043
ji ben 	基本	c=39 d=0.0488341 t=82043
ji bie 	级别	c=5 d=5.04777e-17 t=82043
ji bing 	疾病	c=1 d=4.00776e-38 t=82043
ji ce 	计策	c=0 d=4.96553e-60 t=82043
ji ce he 	计策河	c=1 d=4.99042e-59 t=82043
ji ceng 	基层	c=1 d=3.60633e-61 t=82043
ji chang 	机场	c=2 d=0.000265207 t=82043
ji che 	机车	c=21 d=7.52348e-52 t=82043
ji chi 	鸡翅	c=1 d=2.06109e-38 t=82043
ji chu 	基础	c=129 d=0.960789 t=82043
ji dan 	鸡蛋	c=1 d=3.62576e-36 t=82043
ji dao 	寄到	c=1 d=1.14135e-26 t=82043
ji de 	基德	c=2 d=2.96801e-32 t=82043
ji de 	记得	c=4 d=2.16124e-08 t=82043
ji di 	基地	c=2 d=2.67309e-38 t=82043
ji dian 	几点	c=9 d=0.022332 t=82043
ji dong 	机动	c=10 d=1.77369e-36 t=82043
ji dong 	激动	c=2 d=7.99196e-11 t=82043
ji dong che 	机动车	c=5 d=0.000163287 t=82043
ji du 	基督	c=1 d=4.31476e-24 t=82043
ji du 	嫉妒	c=1 d=4.33639e-24 t=82043
ji du 	季度	c=1 d=1 t=67238
ji duan 	极端	c=4 d=1.38039e-14 t=82043
ji fang 	机房	c=2 d=5.11605e-28 t=82043
ji ge 	几个	c=18 d=0.384812 t=82043
ji ge 	及格	c=9 d=0.382893 t=82043
ji ge ou 	几个偶	c=1 d=4.09848e-66 t=82043
ji ge ou 	及格偶	c=1 d=1 t=49593
ji ge ren 	几个人	c=2 d=6.16012e-07 t=82043
ji gei 	寄给	c=1 d=1 t=79738
ji gen 	几根	c=1 d=0.0340475 t=82043
ji gou 	机构	c=1 d=1.46622e-61 t=82043
ji guan 	籍贯	c=1 d=7.08175e-59 t=82043
ji guo lai 	寄过来	c=1 d=1.12999e-26 t=82043
ji guo qu 	寄过去	c=2 d=2.50456e-26 t=82043
ji hao 	几号	c=1 d=1 t=60865
ji he 	集合	c=5 d=7.96861e-06 t=82043
ji hua 	计划	c=4 d=1.22899e-14 t=82043
ji huang 	饥荒	c=3 d=1.07377 t=61686
ji hui 	机会	c=4 d=8.74162e-07 t=82043
ji huo 	激活	c=16 d=0.0236356 t=82043
ji huo ma 	激活码	c=1 d=1 t=78850
ji ji 	积极	c=1 d=2.32671e-23 t=82043
ji ji suan 	及计算	c=1 d=1.18975e-44 t=82043
ji jiang 	即将	c=1 d=7.85348e-70 t=82043
ji jin 	基金	c=1 d=6.51042e-40 t=82043
ji jin 	集锦	c=2 d=5.96668e-14 t=82043
ji jing 	技经	c=7 d=2.83847e-09 t=82043
ji ke 	即可	c=1 d=3.39885e-11 t=82043
ji keng 	基坑	c=1 d=0.514274 t=82043
ji kuai 	几块	c=1 d=1.12593e-13 t=82043
ji kuan 	几款	c=1 d=4.16113e-68 t=82043
ji lao 	记牢	c=1 d=1 t=56104
ji lei 	积累	c=1 d=1 t=66292
ji lei 	鸡肋	c=2 d=1 t=66291
ji lou 	几楼	c=1 d=1 t=59370
ji lu 	记录	c=7 d=1.07565e-05 t=82043
ji lu you 	极路由	c=4 d=1 t=65198
ji lv 	纪律	c=2 d=0.2334 t=82043
ji men 	几门	c=2 d=4.74977e-07 t=82043
ji mi 	机密	c=1 d=8.36924e-83 t=82043
ji mo 	寂寞	c=1 d=1.24349e-05 t=82043
ji na 	缉拿	c=1 d=1 t=46650
ji na xiao 	及那小	c=1 d=1 t=70417
ji nan 	济南	c=5 d=0.980199 t=82043
ji nan lu 	济南路	c=2 d=0.986441 t=82043
ji nian 	几年	c=3 d=2.54553e-05 t=82043
ji ning 	济宁	c=5 d=7.05285e-29 t=82043
ji ou 	奇偶	c=1 d=0.000953854 t=82043
ji pai shui 	给排水	c=3 d=1.36012e-49 t=82043
ji pei 	级配	c=2 d=5.88185e-22 t=82043
ji pin 	基频	c=3 d=1.68042 t=82043
ji pin 	极品	c=2 d=6.84038e-40 t=82043
ji ping 	几瓶	c=1 d=5.22473e-40 t=82043
ji qi 	及其	c=3 d=3.06782e-68 t=82043
ji qi 	机器	c=5 d=3.01297e-05 t=82043
ji qi ren 	机器人	c=1 d=1.53512e-13 t=82043
ji qian 	几千	c=1 d=1.65462e-42 t=82043
ji qiao 	技巧	c=1 d=7.41828e-17 t=82043
ji qing 	激情	c=1 d=1.37723e-89 t=82043
ji qu 	汲取	c=1 d=1 t=46744
ji quan 	几圈	c=1 d=2.76097e-95 t=82043
ji rou 	肌肉	c=2 d=1.96604e-12 t=82043
ji rou chuan 	鸡肉串	c=1 d=4.50003e-48 t=82043
ji ru 	计入	c=13 d=0.00261974 t=82043
ji shi 	即使	c=2 d=7.76547e-25 t=82043
ji shi 	即是	c=1 d=1 t=66802
ji shi 	及时	c=14 d=1.90003e-22 t=82043
ji shi 	技师	c=1 d=2.84186e-23 t=82043
ji shi qi 	计时器	c=1 d=4.42234e-49 t=82043
ji shu 	技术	c=83 d=0.000590229 t=82043
ji shu gou 	技术狗	c=1 d=1.24176e-18 t=82043
ji shua 	机刷	c=3 d=3.23777e-39 t=82043
ji shui 	给水	c=12 d=3.10631e-11 t=82043
ji su 	急速	c=1 d=3.20974e-14 t=82043
ji su 	激素	c=0 d=1.54465e-28 t=82043
ji su na 	激素那	c=2 d=1.55239e-27 t=82043
ji suan 	计算	c=385 d=8.41622 t=82043
ji suan de 	计算的	c=1 d=1.06434e-57 t=82043
ji suan ji 	计算机	c=1 d=3.60963e-13 t=82043
ji suan qi 	计算器	c=1 d=9.71768e-17 t=82043
ji suan shu 	计算书	c=3 d=1.90457e-50 t=82043
ji tai 	几台	c=1 d=1 t=61852
ji tao 	几套	c=1 d=2.18326e-39 t=82043
ji ti 	集体	c=2 d=3.76796e-18 t=82043
ji tian 	几天	c=3 d=2.32671e-27 t=82043
ji tu 	挤土	c=1 d=1 t=74039
ji tuan 	集团	c=19 d=0.0614212 t=82043
ji wan 	几万	c=1 d=1 t=61709
ji xian 	极限	c=18 d=0.635195 t=82043
ji xiao 	绩效	c=2 d=1 t=67949
ji xie 	机械	c=1 d=1 t=48749
ji xie hua 	机械化	c=2 d=2.3016e-13 t=82043
ji xing 	机型	c=1 d=1 t=65809
ji xu 	继续	c=7 d=0.107528 t=82043
ji ya 	挤压	c=1 d=8.78366e-34 t=82043
ji yao 	纪要	c=8 d=3.70227e-17 t=82043
ji ye 	几页	c=2 d=2.47825e-30 t=82043
ji yi 	记忆	c=2 d=6.54995e-23 t=82043
ji yi jian 	及意见	c=1 d=1.58596e-14 t=82043
ji you 	既有	c=1 d=6.91675e-17 t=82043
ji yu 	基于	c=43 d=8.28903e-11 t=82043
ji yu 	机遇	c=2 d=4.53084e-13 t=82043
ji yu 	给予	c=1 d=1.21717e-18 t=82043
ji yue fen 	几月份	c=0 d=9.02472e-30 t=82043
ji zhang 	几张	c=5 d=0.000137073 t=82043
ji zhi 	机制	c=2 d=1.00059 t=63292
ji zhong 	几种	c=1 d=1 t=47626
ji zhong 	集中	c=12 d=2.36477e-08 t=82043
ji zhong li 	集中力	c=1 d=1.96671e-16 t=82043
ji zhu 	记住	c=1 d=1.81051e-13 t=82043
ji zhun 	基准	c=16 d=0.000112788 t=82043
ji zhun dian 	基准点	c=1 d=5.85053e-18 t=82043
ji zhun qi 	基准期	c=1 d=1 t=70665
ji zuo 	几座	c=1 d=1 t=45989
ji zuo 	基座	c=6 d=2.07001e-30 t=82043
jia 	价	c=2 d=1 t=79967
jia 	加	c=60 d=0.390058 t=82043
jia 	嘉	c=2 d=2.24481e-90 t=82043
jia 	夹	c=25 d=0.00634082 t=82043
jia 	家	c=58 d=0.122993 t=82043
jia 	架	c=8 d=0.97531 t=82043
jia 	甲	c=6 d=1.78403e-12 t=82043
jia 	贾	c=15 d=2.32184e-12 t=82043
jia ban 	加班	c=18 d=0.144424 t=82043
jia cu 	加粗	c=2 d=5.03217e-10 t=82043
jia da 	加大	c=1 d=1.72725e-18 t=82043
jia de 	假的	c=1 d=1.02476e-23 t=82043
jia de 	家的	c=1 d=1 t=44528
jia ding 	假定	c=1 d=1.14314e-15 t=82043
jia fang 	甲方	c=20 d=1.2197e-13 t=82043
jia gai 	加盖	c=1 d=1 t=75560
jia gao 	加高	c=1 d=1 t=56316
jia ge 	价格	c=9 d=0.0800591 t=82043
jia ge 	加个	c=1 d=1 t=63098
jia gong 	加工	c=7 d=7.37978e-44 t=82043
jia gong chang 	加工厂	c=2 d=1.9609e-40 t=82043
jia gou 	架构	c=1 d=1.08281e-83 t=82043
jia gu 	加固	c=24 d=2.12942e-10 t=82043
jia hao 	加号	c=1 d=1 t=57881
jia hou 	加厚	c=2 d=3.51918e-30 t=82043
jia huo 	假货	c=1 d=3.61332e-25 t=82043
jia jiao 	夹角	c=2 d=3.58333e-07 t=82043
jia jin 	加劲	c=8 d=5.04278e-27 t=82043
jia jin lei 	加劲肋	c=1 d=0.57695 t=82043
jia jin qu 	加进去	c=1 d=1 t=51893
jia jing 	家境	c=1 d=3.8057e-47 t=82043
jia kong 	架空	c=1 d=9.35444e-10 t=82043
jia kuai 	加快	c=10 d=0.0124474 t=82043
jia kuan 	加宽	c=3 d=5.84825e-46 t=82043
jia le 	加了	c=1 d=3.75363e-32 t=82043
jia li 	家里	c=2 d=4.40863e-48 t=82043
jia li mian 	家里面	c=3 d=0.0138338 t=82043
jia li ren 	家里人	c=1 d=4.88843e-22 t=82043
jia liang 	架梁	c=2 d=4.1851e-18 t=82043
jia mi 	加密	c=10 d=0.852144 t=82043
jia min 	嘉闵	c=32 d=1.83888e-08 t=82043
jia nong an 	家农安	c=1 d=1.67586e-45 t=82043
jia qi 	假期	c=3 d=1.09261e-42 t=82043
jia qiang 	加强	c=3 d=1.70919e-12 t=82043
jia ren 	家人	c=1 d=3.23738e-56 t=82043
jia ru 	加入	c=14 d=0.000141955 t=82043
jia ru dao 	加入到	c=1 d=6.49382e-10 t=82043
jia shang 	加上	c=4 d=4.09848e-66 t=82043
jia shao da qiao 	嘉绍大桥	c=1 d=5.9677e-16 t=82043
jia she 	架设	c=3 d=1.03203e-18 t=82043
jia she neng 	假设能	c=0 d=0.1 t=54199
jia she neng ge 	假设能格	c=1 d=1 t=54200
jia shi 	驾驶	c=1 d=7.38128e-17 t=82043
jia shu 	家属	c=0 d=1.17044e-29 t=82043
jia shu du 	家属度	c=1 d=1.17631e-28 t=82043
jia su 	加速	c=1 d=1.9559e-10 t=82043
jia su du 	加速度	c=13 d=2.03607e-12 t=82043
jia suan 	甲酸	c=1 d=1 t=66975
jia sun 	家孙	c=2 d=9.52657e-48 t=82043
jia tiao 	假条	c=2 d=1.93239 t=54408
jia ting 	家庭	c=9 d=8.98375e-06 t=82043
jia ting ban 	家庭版	c=3 d=1.96322e-06 t=82043
